imagineName,tier,activeEffect,passiveEffect,rarity,itemTier,battleSkill,monsterName,itemId,aoyiSkillId,skillEffectId,bridgeMethod,bridgeConflict,notes
Battle Imagine - Void Foxen,T0,"Stunt! Fox Assault [Elite Summon] - Void Foxen. Pounces forward with blinding speed, dealing AoE Attack DMG and increasing Haste for 20s.",,purple,3,Stunt! Fox Assault,,3000005,3909,,icon-number,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Void Foxen,T1,"Stunt! Fox Assault [Elite Summon] - Void Foxen. Pounces forward with blinding speed, dealing AoE Attack DMG and increasing Haste for 20s.",,purple,3,Stunt! Fox Assault,,3000005,3909,,icon-number,,No structured values found for this tier.
Battle Imagine - Void Foxen,T2,"Stunt! Fox Assault [Elite Summon] - Void Foxen. Pounces forward with blinding speed, dealing AoE Attack DMG and increasing Haste for 20s.",,purple,3,Stunt! Fox Assault,,3000005,3909,,icon-number,,No structured values found for this tier.
Battle Imagine - Void Foxen,T3,"Stunt! Fox Assault [Elite Summon] - Void Foxen. Pounces forward with blinding speed, dealing AoE Attack DMG and increasing Haste for 20s.",,purple,3,Stunt! Fox Assault,,3000005,3909,,icon-number,,No structured values found for this tier.
Battle Imagine - Void Foxen,T4,"Stunt! Fox Assault [Elite Summon] - Void Foxen. Pounces forward with blinding speed, dealing AoE Attack DMG and increasing Haste for 20s.",,purple,3,Stunt! Fox Assault,,3000005,3909,,icon-number,,No structured values found for this tier.
Battle Imagine - Void Foxen,T5,"Stunt! Fox Assault [Elite Summon] - Void Foxen. Pounces forward with blinding speed, dealing AoE Attack DMG and increasing Haste for 20s.",,purple,3,Stunt! Fox Assault,,3000005,3909,,icon-number,,No structured values found for this tier.
Battle Imagine - Boarrier Tyrant,T0,"Stunt! Boarrier Rush Summons Elite: Boarrier Tyrant to charge forward with tusks for 3s. Deals Attack DMG and knocks enemies airborne during the charge. Tusks rend the targets, inflicting Wound.","Upon the skill cast, the DMG dealt and healing of your Special Attack are increased for a period.",purple,3,Stunt! Boarrier Rush,Boarrier Tyrant,3000006,3905,390501,direct-skill-aoyi-item,yes,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Boarrier Tyrant,T1,"Stunt! Boarrier Rush Summons Elite: Boarrier Tyrant to charge forward with tusks for 3s. Deals Attack DMG and knocks enemies airborne during the charge. Tusks rend the targets, inflicting Wound.","Upon the skill cast, the DMG dealt and healing of your Special Attack are increased for a period. Healing Received Bonus: 3.2%",purple,3,Stunt! Boarrier Rush,Boarrier Tyrant,3000006,3905,390501,direct-skill-aoyi-item,yes,
Battle Imagine - Boarrier Tyrant,T2,"Stunt! Boarrier Rush Summons Elite: Boarrier Tyrant to charge forward with tusks for 3s. Deals Attack DMG and knocks enemies airborne during the charge. Tusks rend the targets, inflicting Wound.","Upon the skill cast, the DMG dealt and healing of your Special Attack are increased for a period. Healing Received Bonus: 6.4%",purple,3,Stunt! Boarrier Rush,Boarrier Tyrant,3000006,3905,390501,direct-skill-aoyi-item,yes,
Battle Imagine - Boarrier Tyrant,T3,"Stunt! Boarrier Rush Summons Elite: Boarrier Tyrant to charge forward with tusks for 3s. Deals Attack DMG and knocks enemies airborne during the charge. Tusks rend the targets, inflicting Wound.","Upon the skill cast, the DMG dealt and healing of your Special Attack are increased for a period. Healing Received Bonus: 9.6%",purple,3,Stunt! Boarrier Rush,Boarrier Tyrant,3000006,3905,390501,direct-skill-aoyi-item,yes,
Battle Imagine - Boarrier Tyrant,T4,"Stunt! Boarrier Rush Summons Elite: Boarrier Tyrant to charge forward with tusks for 3s. Deals Attack DMG and knocks enemies airborne during the charge. Tusks rend the targets, inflicting Wound.","Upon the skill cast, the DMG dealt and healing of your Special Attack are increased for a period. Healing Received Bonus: 12.8%",purple,3,Stunt! Boarrier Rush,Boarrier Tyrant,3000006,3905,390501,direct-skill-aoyi-item,yes,
Battle Imagine - Boarrier Tyrant,T5,"Stunt! Boarrier Rush Summons Elite: Boarrier Tyrant to charge forward with tusks for 3s. Deals Attack DMG and knocks enemies airborne during the charge. Tusks rend the targets, inflicting Wound.","Upon the skill cast, the DMG dealt and healing of your Special Attack are increased for a period. Healing Received Bonus: 16%",purple,3,Stunt! Boarrier Rush,Boarrier Tyrant,3000006,3905,390501,direct-skill-aoyi-item,yes,
Battle Imagine - Muku King,T0,"Arcane! Pulse Benediction Summons Boss: Muku King to channel Forest Energy, healing up to 10 friendly targets over time and dispelling debuffs during the healing for 10s.","Upon the skill cast, your healing received is increased for a period.",gold,4,Arcane! Pulse Benediction,Muku King,3000007,3908,390801,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Muku King,T1,"Arcane! Pulse Benediction Summons Boss: Muku King to channel Forest Energy, healing up to 10 friendly targets over time and dispelling debuffs during the healing for 10s.","Upon the skill cast, your healing received is increased for a period. Healing Received Bonus: 2%",gold,4,Arcane! Pulse Benediction,Muku King,3000007,3908,390801,direct-skill-aoyi-item,,
Battle Imagine - Muku King,T2,"Arcane! Pulse Benediction Summons Boss: Muku King to channel Forest Energy, healing up to 10 friendly targets over time and dispelling debuffs during the healing for 10s.","Upon the skill cast, your healing received is increased for a period. Healing Received Bonus: 4%",gold,4,Arcane! Pulse Benediction,Muku King,3000007,3908,390801,direct-skill-aoyi-item,,
Battle Imagine - Muku King,T3,"Arcane! Pulse Benediction Summons Boss: Muku King to channel Forest Energy, healing up to 10 friendly targets over time and dispelling debuffs during the healing for 10s.","Upon the skill cast, your healing received is increased for a period. Healing Received Bonus: 6%",gold,4,Arcane! Pulse Benediction,Muku King,3000007,3908,390801,direct-skill-aoyi-item,,
Battle Imagine - Muku King,T4,"Arcane! Pulse Benediction Summons Boss: Muku King to channel Forest Energy, healing up to 10 friendly targets over time and dispelling debuffs during the healing for 10s.","Upon the skill cast, your healing received is increased for a period. Healing Received Bonus: 8%",gold,4,Arcane! Pulse Benediction,Muku King,3000007,3908,390801,direct-skill-aoyi-item,,
Battle Imagine - Muku King,T5,"Arcane! Pulse Benediction Summons Boss: Muku King to channel Forest Energy, healing up to 10 friendly targets over time and dispelling debuffs during the healing for 10s.","Upon the skill cast, your healing received is increased for a period. Healing Received Bonus: 10%",gold,4,Arcane! Pulse Benediction,Muku King,3000007,3908,390801,direct-skill-aoyi-item,,
Battle Imagine - Airona,T0,Arcane! Blessing of Life Summons Airona to chants briefly and revive all Allies within 20 meters.,,gold,4,Arcane! Blessing of Life,Airona,3000008,3920,392001,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Airona,T1,Arcane! Blessing of Life Summons Airona to chants briefly and revive all Allies within 20 meters. Revive Level Scaling: 1,Revive Recovery Value: 10%,gold,4,Arcane! Blessing of Life,Airona,3000008,3920,392001,direct-skill-aoyi-item,,
Battle Imagine - Airona,T2,Arcane! Blessing of Life Summons Airona to chants briefly and revive all Allies within 20 meters. Revive Level Scaling: 2,Revive Recovery Value: 20%,gold,4,Arcane! Blessing of Life,Airona,3000008,3920,392001,direct-skill-aoyi-item,,
Battle Imagine - Airona,T3,Arcane! Blessing of Life Summons Airona to chants briefly and revive all Allies within 20 meters. Revive Level Scaling: 2,Revive Recovery Value: 20%,gold,4,Arcane! Blessing of Life,Airona,3000008,3920,392001,direct-skill-aoyi-item,,
Battle Imagine - Airona,T4,Arcane! Blessing of Life Summons Airona to chants briefly and revive all Allies within 20 meters. Revive Level Scaling: 3,Revive Recovery Value: 30%,gold,4,Arcane! Blessing of Life,Airona,3000008,3920,392001,direct-skill-aoyi-item,,
Battle Imagine - Airona,T5,Arcane! Blessing of Life Summons Airona to chants briefly and revive all Allies within 20 meters. Revive Level Scaling: 4,Revive Recovery Value: 40%,gold,4,Arcane! Blessing of Life,Airona,3000008,3920,392001,direct-skill-aoyi-item,,
Battle Imagine - Tempest Ogre,T0,"Arcane! Thunderfall Grasp Summons Boss: Tempest Ogre to channel the power of thunder to generate a vortex, continuously pulling in enemies near the target and dealing AoE Magic DMG when the duration ends.",,gold,4,Arcane! Thunderfall Grasp,Tempest Ogre,3000009,3902,390201,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Tempest Ogre,T1,"Arcane! Thunderfall Grasp Summons Boss: Tempest Ogre to channel the power of thunder to generate a vortex, continuously pulling in enemies near the target and dealing AoE Magic DMG when the duration ends.",,gold,4,Arcane! Thunderfall Grasp,Tempest Ogre,3000009,3902,390201,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Tempest Ogre,T2,"Arcane! Thunderfall Grasp Summons Boss: Tempest Ogre to channel the power of thunder to generate a vortex, continuously pulling in enemies near the target and dealing AoE Magic DMG when the duration ends.",,gold,4,Arcane! Thunderfall Grasp,Tempest Ogre,3000009,3902,390201,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Tempest Ogre,T3,"Arcane! Thunderfall Grasp Summons Boss: Tempest Ogre to channel the power of thunder to generate a vortex, continuously pulling in enemies near the target and dealing AoE Magic DMG when the duration ends.",,gold,4,Arcane! Thunderfall Grasp,Tempest Ogre,3000009,3902,390201,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Tempest Ogre,T4,"Arcane! Thunderfall Grasp Summons Boss: Tempest Ogre to channel the power of thunder to generate a vortex, continuously pulling in enemies near the target and dealing AoE Magic DMG when the duration ends.",,gold,4,Arcane! Thunderfall Grasp,Tempest Ogre,3000009,3902,390201,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Tempest Ogre,T5,"Arcane! Thunderfall Grasp Summons Boss: Tempest Ogre to channel the power of thunder to generate a vortex, continuously pulling in enemies near the target and dealing AoE Magic DMG when the duration ends.",,gold,4,Arcane! Thunderfall Grasp,Tempest Ogre,3000009,3902,390201,direct-skill-aoyi-item,,No structured values found for this tier.
Battle Imagine - Frost Ogre,T0,"Arcane! Frostquake Summons Boss: Frost Ogre to swing an ice hammer in a spinning attack dealing Attack DMG, freezing hit targets for 5s. This skill cannot freeze targets with Resilience but will reduce their Resilience.","Upon the skill cast, your Resilience Break Bonus is increased for a period.",gold,4,Arcane! Frostquake,Frost Ogre,3000010,3906,390601,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Frost Ogre,T1,"Arcane! Frostquake Summons Boss: Frost Ogre to swing an ice hammer in a spinning attack dealing Attack DMG, freezing hit targets for 5s. This skill cannot freeze targets with Resilience but will reduce their Resilience.","Upon the skill cast, your Resilience Break Bonus is increased for a period. Resilience Break Bonus: 9%",gold,4,Arcane! Frostquake,Frost Ogre,3000010,3906,390601,direct-skill-aoyi-item,,
Battle Imagine - Frost Ogre,T2,"Arcane! Frostquake Summons Boss: Frost Ogre to swing an ice hammer in a spinning attack dealing Attack DMG, freezing hit targets for 5s. This skill cannot freeze targets with Resilience but will reduce their Resilience.","Upon the skill cast, your Resilience Break Bonus is increased for a period. Resilience Break Bonus: 18%",gold,4,Arcane! Frostquake,Frost Ogre,3000010,3906,390601,direct-skill-aoyi-item,,
Battle Imagine - Frost Ogre,T3,"Arcane! Frostquake Summons Boss: Frost Ogre to swing an ice hammer in a spinning attack dealing Attack DMG, freezing hit targets for 5s. This skill cannot freeze targets with Resilience but will reduce their Resilience.","Upon the skill cast, your Resilience Break Bonus is increased for a period. Resilience Break Bonus: 27%",gold,4,Arcane! Frostquake,Frost Ogre,3000010,3906,390601,direct-skill-aoyi-item,,
Battle Imagine - Frost Ogre,T4,"Arcane! Frostquake Summons Boss: Frost Ogre to swing an ice hammer in a spinning attack dealing Attack DMG, freezing hit targets for 5s. This skill cannot freeze targets with Resilience but will reduce their Resilience.","Upon the skill cast, your Resilience Break Bonus is increased for a period. Resilience Break Bonus: 36%",gold,4,Arcane! Frostquake,Frost Ogre,3000010,3906,390601,direct-skill-aoyi-item,,
Battle Imagine - Frost Ogre,T5,"Arcane! Frostquake Summons Boss: Frost Ogre to swing an ice hammer in a spinning attack dealing Attack DMG, freezing hit targets for 5s. This skill cannot freeze targets with Resilience but will reduce their Resilience.","Upon the skill cast, your Resilience Break Bonus is increased for a period. Resilience Break Bonus: 45%",gold,4,Arcane! Frostquake,Frost Ogre,3000010,3906,390601,direct-skill-aoyi-item,,
Battle Imagine - Tina,T0,"Arcane! Time Decree Summons Tina to channel the power of time into allies, granting them CD reduction effect for a period.",,gold,4,Arcane! Time Decree,Tina,3000011,3921,392101,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Tina,T1,"Arcane! Time Decree Summons Tina to channel the power of time into allies, granting them CD reduction effect for a period.",CD Reduction: 10%,gold,4,Arcane! Time Decree,Tina,3000011,3921,392101,direct-skill-aoyi-item,,
Battle Imagine - Tina,T2,"Arcane! Time Decree Summons Tina to channel the power of time into allies, granting them CD reduction effect for a period.",CD Reduction: 20%,gold,4,Arcane! Time Decree,Tina,3000011,3921,392101,direct-skill-aoyi-item,,
Battle Imagine - Tina,T3,"Arcane! Time Decree Summons Tina to channel the power of time into allies, granting them CD reduction effect for a period.",CD Reduction: 30%,gold,4,Arcane! Time Decree,Tina,3000011,3921,392101,direct-skill-aoyi-item,,
Battle Imagine - Tina,T4,"Arcane! Time Decree Summons Tina to channel the power of time into allies, granting them CD reduction effect for a period.",CD Reduction: 40%,gold,4,Arcane! Time Decree,Tina,3000011,3921,392101,direct-skill-aoyi-item,,
Battle Imagine - Tina,T5,"Arcane! Time Decree Summons Tina to channel the power of time into allies, granting them CD reduction effect for a period.",CD Reduction: 50%,gold,4,Arcane! Time Decree,Tina,3000011,3921,392101,direct-skill-aoyi-item,,
Battle Imagine - Goblin Guard,T0,"Stunt! Blade Sweep Summon Elite: Goblin Guard to perform multiple sword energy attacks forward, dealing Attack DMG. Sword energy hits will reduce the target's Armor.","(The effect cannot stack, and only one effect of the same type will be effective.) Upon the skill cast, your Block DMG reduction is increased for a period.",purple,3,Stunt! Blade Sweep,Goblin Guard,3000012,3914,391401,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Goblin Guard,T1,"Stunt! Blade Sweep Summon Elite: Goblin Guard to perform multiple sword energy attacks forward, dealing Attack DMG. Sword energy hits will reduce the target's Armor. Armor Penetration: 130","(The effect cannot stack, and only one effect of the same type will be effective.) Upon the skill cast, your Block DMG reduction is increased for a period. Block DMG Reduction Bonus: 1.5%",purple,3,Stunt! Blade Sweep,Goblin Guard,3000012,3914,391401,direct-skill-aoyi-item,,
Battle Imagine - Goblin Guard,T2,"Stunt! Blade Sweep Summon Elite: Goblin Guard to perform multiple sword energy attacks forward, dealing Attack DMG. Sword energy hits will reduce the target's Armor. Armor Penetration: 260","(The effect cannot stack, and only one effect of the same type will be effective.) Upon the skill cast, your Block DMG reduction is increased for a period. Block DMG Reduction Bonus: 3%",purple,3,Stunt! Blade Sweep,Goblin Guard,3000012,3914,391401,direct-skill-aoyi-item,,
Battle Imagine - Goblin Guard,T3,"Stunt! Blade Sweep Summon Elite: Goblin Guard to perform multiple sword energy attacks forward, dealing Attack DMG. Sword energy hits will reduce the target's Armor. Armor Penetration: 390","(The effect cannot stack, and only one effect of the same type will be effective.) Upon the skill cast, your Block DMG reduction is increased for a period. Block DMG Reduction Bonus: 4.5%",purple,3,Stunt! Blade Sweep,Goblin Guard,3000012,3914,391401,direct-skill-aoyi-item,,
Battle Imagine - Goblin Guard,T4,"Stunt! Blade Sweep Summon Elite: Goblin Guard to perform multiple sword energy attacks forward, dealing Attack DMG. Sword energy hits will reduce the target's Armor. Armor Penetration: 520","(The effect cannot stack, and only one effect of the same type will be effective.) Upon the skill cast, your Block DMG reduction is increased for a period. Block DMG Reduction Bonus: 6%",purple,3,Stunt! Blade Sweep,Goblin Guard,3000012,3914,391401,direct-skill-aoyi-item,,
Battle Imagine - Goblin Guard,T5,"Stunt! Blade Sweep Summon Elite: Goblin Guard to perform multiple sword energy attacks forward, dealing Attack DMG. Sword energy hits will reduce the target's Armor. Armor Penetration: 650","(The effect cannot stack, and only one effect of the same type will be effective.) Upon the skill cast, your Block DMG reduction is increased for a period. Block DMG Reduction Bonus: 7.5%",purple,3,Stunt! Blade Sweep,Goblin Guard,3000012,3914,391401,direct-skill-aoyi-item,,
Battle Imagine - Goblin Warrior,T0,"Stunt! Frenzied Shot Summons Elite: Goblin Warrior to shoot in a fan-shaped area in front, dealing Attack DMG.","Upon the skill cast, your Luck and Lucky Strike Multiplier are increased for a period.",purple,3,Stunt! Frenzied Shot,Goblin Warrior,3000013,3915,391501,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Goblin Warrior,T1,"Stunt! Frenzied Shot Summons Elite: Goblin Warrior to shoot in a fan-shaped area in front, dealing Attack DMG.","Upon the skill cast, your Luck and Lucky Strike Multiplier are increased for a period. Luck Bonus: 2%; Lucky Strike Multiplier Bonus: 8.96%",purple,3,Stunt! Frenzied Shot,Goblin Warrior,3000013,3915,391501,direct-skill-aoyi-item,,
Battle Imagine - Goblin Warrior,T2,"Stunt! Frenzied Shot Summons Elite: Goblin Warrior to shoot in a fan-shaped area in front, dealing Attack DMG.","Upon the skill cast, your Luck and Lucky Strike Multiplier are increased for a period. Luck Bonus: 4%; Lucky Strike Multiplier Bonus: 17.92%",purple,3,Stunt! Frenzied Shot,Goblin Warrior,3000013,3915,391501,direct-skill-aoyi-item,,
Battle Imagine - Goblin Warrior,T3,"Stunt! Frenzied Shot Summons Elite: Goblin Warrior to shoot in a fan-shaped area in front, dealing Attack DMG.","Upon the skill cast, your Luck and Lucky Strike Multiplier are increased for a period. Luck Bonus: 6%; Lucky Strike Multiplier Bonus: 26.88%",purple,3,Stunt! Frenzied Shot,Goblin Warrior,3000013,3915,391501,direct-skill-aoyi-item,,
Battle Imagine - Goblin Warrior,T4,"Stunt! Frenzied Shot Summons Elite: Goblin Warrior to shoot in a fan-shaped area in front, dealing Attack DMG.","Upon the skill cast, your Luck and Lucky Strike Multiplier are increased for a period. Luck Bonus: 8%; Lucky Strike Multiplier Bonus: 35.84%",purple,3,Stunt! Frenzied Shot,Goblin Warrior,3000013,3915,391501,direct-skill-aoyi-item,,
Battle Imagine - Goblin Warrior,T5,"Stunt! Frenzied Shot Summons Elite: Goblin Warrior to shoot in a fan-shaped area in front, dealing Attack DMG.","Upon the skill cast, your Luck and Lucky Strike Multiplier are increased for a period. Luck Bonus: 10%; Lucky Strike Multiplier Bonus: 44.8%",purple,3,Stunt! Frenzied Shot,Goblin Warrior,3000013,3915,391501,direct-skill-aoyi-item,,
Battle Imagine - Brigand Archer,T0,"Stunt! Piercing Arrow Summons Elite - Brigand Archer to charge in place and release a piercing arrow towards the target, dealing Attack DMG.",,purple,3,Stunt! Piercing Arrow,,3000014,3916,,item-page-context,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Brigand Archer,T1,"Stunt! Piercing Arrow Summons Elite - Brigand Archer to charge in place and release a piercing arrow towards the target, dealing Attack DMG.",,purple,3,Stunt! Piercing Arrow,,3000014,3916,,item-page-context,,No structured values found for this tier.
Battle Imagine - Brigand Archer,T2,"Stunt! Piercing Arrow Summons Elite - Brigand Archer to charge in place and release a piercing arrow towards the target, dealing Attack DMG.",,purple,3,Stunt! Piercing Arrow,,3000014,3916,,item-page-context,,No structured values found for this tier.
Battle Imagine - Brigand Archer,T3,"Stunt! Piercing Arrow Summons Elite - Brigand Archer to charge in place and release a piercing arrow towards the target, dealing Attack DMG.",,purple,3,Stunt! Piercing Arrow,,3000014,3916,,item-page-context,,No structured values found for this tier.
Battle Imagine - Brigand Archer,T4,"Stunt! Piercing Arrow Summons Elite - Brigand Archer to charge in place and release a piercing arrow towards the target, dealing Attack DMG.",,purple,3,Stunt! Piercing Arrow,,3000014,3916,,item-page-context,,No structured values found for this tier.
Battle Imagine - Brigand Archer,T5,"Stunt! Piercing Arrow Summons Elite - Brigand Archer to charge in place and release a piercing arrow towards the target, dealing Attack DMG.",,purple,3,Stunt! Piercing Arrow,,3000014,3916,,item-page-context,,No structured values found for this tier.
Battle Imagine - Shadow Commander,T0,"Stunt! Heavy Slash Summons Elite: Shadow Commander to perform a flurry of slashes forward, dealing Attack DMG and consuming all Heavy Slash charges to greatly improve the current DMG dealt.",,purple,3,Stunt! Heavy Slash,Shadow Commander,3000015,3917,391701,direct-skill-aoyi-item,,"No structured T0/base values found in current generated data. T0 effect text is present, but structured T0 numeric values were not found in current extracted data."
Battle Imagine - Shadow Commander,T1,"Stunt! Heavy Slash Summons Elite: Shadow Commander to perform a flurry of slashes forward, dealing Attack DMG and consuming all Heavy Slash charges to greatly improve the current DMG dealt.",,purple,3,Stunt! Heavy Slash,Shadow Commander,3000015,3917,391701,direct-skill-aoyi-item,,No structured values found for this tier.
